code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0642131U,Antenne du collège STEE de l'Université de Pau (Anglet),64,Licence - Sciences de la vie,7797,Public,False,False,1134,0.5,0.68390625,0.10298828125,0.93796875,0.0,0.0619921875,0.0,0.60796875,0.25796875,0.0409999999999999,0.0
0701048J,I.U.T de Besançon - Antenne de Vesoul,70,BUT - Gestion logistique et transport Parcours : Management de mobilité et de la supply-chain connectées - Management de mobilité et de la supply-chain durables,8606,Public,True,False,265,0.76,0.23796875,0.2959765625,0.70390625,0.0,0.406953125,0.073994140625,0.406953125,0.073994140625,0.0,0.0
9840268U,Lycée des Métiers -Hotelier de Tahiti,987,Mise à niveau - Hôtellerie restauration,12001,Public,True,False,141,0.4,0.5909375,0.473984375,0.946875,0.0,0.3159765625,0.3159765625,0.3159765625,0.2109765625,0.105,0.0
0440984F,Université de Nantes,44,Licence - Sciences de l'éducation,19170,Public,False,False,1879,0.34,0.86,0.21296875,0.866875,0.0,0.2,0.012998046875,0.52,0.25296875,0.107,0.0
0422128K,Institut Régional et Européen des métiers de l'Intervention Sociale Rhône-Alpes - IREIS,42,D.E Educateur Spécialisé,24882,Privé sous contrat d'association,True,False,277,0.23,0.8709375,0.0,0.666875,0.0,0.5,0.0,0.5,0.5,0.0,0.0
0442061B,Lycée agricole Jules Rieffel,44,BTS - Agricole - Aménagements paysagers,5609,Public,True,False,539,0.42,0.258984375,0.388984375,0.77796875,0.0,0.1669921875,0.5559375,0.33296875,0.2219921875,0.0,0.0
9740478B,Université de La Réunion - Saint Denis,974,Licence - Parcours d'Accès Spécifique Santé (PASS),27567,Public,False,False,931,0.99,0.8209375,0.55296875,0.82390625,0.0,0.235,0.18796875,0.258984375,0.1759765625,0.047,0.0
0350700W,Lycée agricole Theodore Monod,35,CPGE - TB,4666,Public,True,False,237,0.32,0.45796875,0.2919921875,0.541953125,0.125,1.0,0.0,0.416953125,0.45796875,0.125,0.0
0330159U,"Centre de Ressources, d'Expertise et de Performance Sportive Bordeaux-Aquitaine (CREPS)",33,BPJEPS - Activités de la forme,23543,Public,True,False,345,0.03,0.125,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0951809A,ILEPS,95,"Licence - Sciences de l'éducation - Parcours Education, enseignement et développement corporel de l?enfant",25370,Privé enseignement supérieur,True,False,336,0.46,0.7409375,0.0769921875,0.8459375,0.0,0.0769921875,0.0769921875,0.461953125,0.0769921875,0.077,0.0
