code_UAI,nom_etablissement,code_departement,nom_formation,code_formation_parcoursup,type_contrat,formation_selective,concour,nombre_candidats,taux_admission,taux_femmes,taux_boursiers,taux_meme_academie,taux_meme_etablissement,taux_bac_technologique,taux_bac_pro,taux_mention_assez_bien,taux_mention_bien,taux_mention_tres_bien,taux_mention_tres_bien_felicitations
0820016X,Lycée Francois Mitterrand,82,BTS - Services - Economie sociale familiale,14522,Public,True,False,319,0.62,0.95,0.4709375,1.0,0.058994140625,0.293984375,0.58796875,0.4709375,0.1759765625,0.0,0.0
0820899G,Lycée JEAN BAYLET,82,BTS - Services - Gestion des transports et logistique associée,14524,Public,True,False,282,0.28,0.0669921875,0.2219921875,0.77796875,0.666875,0.11099609375,0.88890625,0.33296875,0.33296875,0.111,0.0
0922276Z,Lycée Santos Dumont,92,BTS - Services - Négociation et digitalisation de la Relation Client,14530,Public,True,False,1282,0.23,0.616953125,0.46296875,0.906875,0.0189990234375,0.5,0.5,0.388984375,0.14798828125,0.019,0.0
0601164P,Lycée professionnel Croiset,60,BTS - Services - Gestion de la PME,14559,Privé sous contrat d'association,True,False,278,0.4,0.5,0.363984375,0.455,0.1819921875,0.455,0.363984375,0.363984375,0.09099609375,0.0,0.0
0570030Y,Lycée Blaise Pascal,57,BTS - Services - Service et prestation des secteurs sanitaire et social,14570,Public,True,False,401,0.36,0.9,0.77796875,1.0,0.443984375,0.5559375,0.33296875,0.33296875,0.2219921875,0.0,0.0
0170051N,Lycée Louis Audouin Dubreuil,17,BTS - Services - Comptabilité et gestion,14579,Public,True,False,181,0.83,0.5,0.125,0.875,0.5,0.625,0.25,0.375,0.25,0.0,0.0
0170028N,Lycée Jean Dautet,17,Diplôme de Comptabilité et de Gestion,14581,Public,True,False,421,0.63,0.5,0.345,0.896875,0.0,0.2759765625,0.0,0.378984375,0.2409765625,0.069,0.0
0753537M,Lycée ESTBA,75,BTS - Production - Biotechnologies,14610,Privé sous contrat d'association,True,False,569,0.53,0.528984375,0.1819921875,0.09099609375,0.0,0.2269921875,0.0,0.455,0.09099609375,0.0,0.0
0290051Y,Lycée Tristan Corbiere,29,BTS - Services - Service et prestation des secteurs sanitaire et social,14636,Public,True,False,583,0.44,0.905,0.0769921875,0.92296875,0.385,0.53796875,0.385,0.30796875,0.2309765625,0.0,0.0
0671639T,Lycée des Métiers Sainte Clotilde,67,BTS - Services - Service et prestation des secteurs sanitaire et social,14671,Privé sous contrat d'association,True,False,427,0.39,1.0,0.25,0.916875,0.0,0.5,0.1669921875,0.58296875,0.08298828125,0.0,0.0
9711033W,Lycée polyvalent Pointe Noire,971,BTS - Services - Métiers de l'audio-visuel opt : gestion de la production,14688,Public,True,False,61,0.23,0.5,0.2859765625,1.0,0.0,0.14298828125,0.2859765625,0.2859765625,0.428984375,0.143,0.0
0831646N,Lycée du Val d'Argens,83,BTS - Services - Conseil et commercialisation de solutions techniques,14799,Public,True,False,121,0.41,0.0,0.2859765625,1.0,0.5709375,0.2859765625,0.2859765625,0.5709375,0.0,0.0,0.0
0772894C,Université Gustave Eiffel,77,"Licence - Portail INFORMATIQUE,  MATHEMATIQUES, INGENIERIE MATHEMATIQUE ET INFORMATIQUE",14836,Public,False,False,1478,0.65,0.055,0.305,0.856875,0.0,0.005999755859375,0.0,0.4159375,0.1619921875,0.013,0.0
0870864S,Lycée Saint-Jean,87,BTS - Services - Opticien-Lunetier,14904,Privé sous contrat d'association,True,False,366,0.35,0.77796875,0.0,0.375,0.0,0.5,0.125,0.25,0.125,0.0,0.0
0331766R,Université Bordeaux Montaigne,33,Licence - Arts du spectacle - Parcours Licence 1 Danse,15014,Public,True,False,253,0.37,0.96,0.1,0.3,0.0,0.15,0.0,0.2,0.55,0.15,0.0
0931238R,Université Sorbonne Paris Nord,93,Licence - Histoire,15086,Public,False,False,529,0.99,0.37796875,0.508984375,0.603984375,0.0,0.28296875,0.188984375,0.2259765625,0.0189990234375,0.0,0.0
0211237F,Université de Bourgogne - site de Dijon,21,Licence - Gestion,15088,Public,False,False,1612,0.4,0.543984375,0.185,0.915,0.0,0.0,0.0,0.5309375,0.2919921875,0.108,0.0
0900385E,Université de Franche-Comté - Site de Belfort,90,C.M.I - Cursus Master en Ingénierie - Sciences pour l'ingénieur - Cursus Master en Ingénierie (CMI) : Hydrogène Energie et Efficacité Energétique (H3E),15105,Public,True,False,121,0.47,0.09099609375,0.0,0.3,0.0,0.0,0.0,0.8,0.2,0.0,0.0
0511296G,Université de Reims Champagne-Ardenne,51,Licence - Economie et gestion,15117,Public,False,False,1397,0.81,0.35796875,0.37,0.68,0.0,0.16,0.01,0.35,0.18,0.01,0.0
0511296G,Université de Reims Champagne-Ardenne,51,Licence - Mathématiques,15125,Public,False,False,745,0.99,0.295,0.2859765625,0.628984375,0.0,0.08599609375,0.0,0.313984375,0.14298828125,0.086,0.0
0830766G,Université de Toulon,83,"Licence - Physique, chimie - Parcours Spécialisation renforcée sélective en vue d'intégrer Seatech",15133,Public,True,False,140,0.7,0.1819921875,0.25,0.75,0.0,0.0,0.0,0.375,0.625,0.0,0.0
0921204J,Université Paris Nanterre,92,"Licence - Lettres - Parcours Lettres, cultures et échanges internationaux",15134,Public,False,False,199,1.0,0.696875,0.11099609375,0.5559375,0.0,0.2219921875,0.05599609375,0.27796875,0.11099609375,0.0,0.0
0921204J,Université Paris Nanterre,92,Licence - Langues étrangères appliquées - Parcours Allemand - Anglais,15135,Public,False,False,336,1.0,0.646875,0.2219921875,0.721875,0.0,0.2219921875,0.05599609375,0.388984375,0.05599609375,0.0,0.0
0720916E,Université du Mans,72,"Licence - Portail Physique, chimie - Parcours physique-chimie / physique franco-allemand",15152,Public,False,False,394,0.99,0.385,0.27296875,0.545,0.0,0.09099609375,0.0,0.455,0.27296875,0.091,0.0
0931238R,Université Sorbonne Paris Nord,93,Licence - Géographie et aménagement - Parcours Géographie Environnement Aménagement,15166,Public,False,False,371,0.99,0.431953125,0.53796875,0.3459375,0.0,0.385,0.153984375,0.30796875,0.037998046875,0.0,0.0
0341089Z,Université Paul Valery - Montpellier 3,34,Licence - Portail Humanités - Parcours Cultures des mondes antiques et médiévaux,15183,Public,False,False,330,1.0,0.5409375,0.5,0.2859765625,0.0,0.213984375,0.07099609375,0.213984375,0.2859765625,0.0,0.0
0640251A,Université de Pau et des Pays de l'Adour,64,"Licence - Lettres - Parcours Cinéma, Théâtre, Danse",15186,Public,False,False,344,0.52,0.65796875,0.32,0.88,0.0,0.24,0.04,0.24,0.08,0.16,0.0
0911975C,Université d'Evry Val d'Essonne,91,Licence - Sciences pour l'ingénieur,15249,Public,False,False,1210,0.74,0.19,0.3059765625,0.58296875,0.0,0.27796875,0.027998046875,0.3609375,0.0419921875,0.0139999999999999,0.0
0593007Y,Lycée Frédéric OZANAM,59,BTS - Services - Métiers des Services à l'environnement,15314,Privé sous contrat d'association,True,False,109,0.72,0.375,0.0769921875,0.8459375,0.153984375,0.53796875,0.2309765625,0.53796875,0.0769921875,0.0,0.0
0570108H,Lycée La Briquerie,57,BTS - Production - Conception et réalisation en chaudronnerie industrielle,15345,Public,True,False,76,0.61,0.0,0.356953125,0.92890625,0.64296875,0.07099609375,0.92890625,0.5,0.14298828125,0.071,0.0
0597065J,Université de Lille,59,Licence - Géographie et aménagement,15376,Public,False,False,619,0.99,0.31,0.17,0.701875,0.0,0.148984375,0.0,0.4259375,0.1909765625,0.021,0.0
0931827F,Université Paris 8,93,Licence - Psychologie,15413,Public,False,False,6673,0.28,0.88890625,0.275,0.4009375,0.0,0.225,0.27,0.5409375,0.323984375,0.032,0.0
0672877N,OMNIS - Ecole Supérieure de Commerce & Management,67,BTS - Services - Commerce International,15444,Privé hors contrat,True,False,612,0.7,0.54796875,0.14298828125,0.7859375,0.0,0.2859765625,0.0,0.07099609375,0.14298828125,0.0,0.0
0597065J,Université de Lille,59,Licence - Sciences de la vie - Parcours sciences de la vie - Option bilingue,15531,Public,True,False,556,0.49,0.6559375,0.12298828125,0.5959375,0.0,0.0,0.0,0.035,0.5959375,0.316,0.053
0171463Y,Université de La Rochelle,17,C.M.I - Cursus Master en Ingénierie - Génie civil - Cursus Master en Ingénierie,15535,Public,True,False,302,0.5,0.1,0.11099609375,0.0,0.0,0.0,0.0,0.5559375,0.2219921875,0.0,0.0
0171463Y,Université de La Rochelle,17,"C.M.I - Cursus Master en Ingénierie - Physique, chimie - Cursus Master en Ingénierie",15553,Public,True,False,178,0.61,0.1669921875,0.0,0.33296875,0.0,0.0,0.0,0.33296875,0.33296875,0.3329999999999999,0.0
0597132G,Université Polytechnique Hauts-de-France,59,Licence - Droit - Parcours Droit - Langue,15641,Public,True,False,741,1.0,0.83296875,0.295,0.77296875,0.0,0.067998046875,0.067998046875,0.25,0.295,0.114,0.023
0681166Y,Université de Mulhouse,68,CUPGE - Cycle Préparatoire Lettres  - Licence renforcée,15666,Public,True,False,63,0.98,0.88890625,0.25,0.875,0.0,0.0,0.0,0.375,0.5,0.125,0.0
